"","","","","","","","","","","","","","","","","","","","習慣化","楽しく勉強","兄弟姉妹","ベビークモン","先生に感謝","本が好き","プリント","計算力UP","やっててよかった","自主的","やる気","友だち","集中力UP","TOEFL","自信がつく","試験に役立つ","自分のペース","基礎力","無料体験学習","リスニング","英検","スポーツと両立","読解力","歌が好きに","仕事に役立つ","考える力","コミュニケーション","留学","音読","E-pencil","医師","ネイティブ","理系大学","志望校合格","暗算","経営者（経営学）","就職"
"14","おうちくもん☆","4カ月の娘は、自分の手で持ってます( ^ω^ )<br>
絵本と歌に興味がでてきたみたい","https://photo.kumon.ne.jp/photo/600/20180724120616-5b5697a8-7578-40db-bdd9-0135ac1f0ecb.jpg?1532401598","https://photo.kumon.ne.jp/photo/240/20180724120616-5b5697a8-7578-40db-bdd9-0135ac1f0ecb.jpg?1532401598","-","ひいちゃんママ","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","",""
"15","１年経ちました！","くもんを始めて１年が経ちました。ひらがなから始めたと思ったらもう漢字。CⅡ教材をこなしています。毎朝自分から頑張る姿はとても頼もしいです。今年は算数も頑張ろうね！","https://photo.kumon.ne.jp/photo/600/20180722200654-5b54654e-c78c-4c14-b8b5-2417ac1f0ecb.jpg?1532257638","https://photo.kumon.ne.jp/photo/240/20180722200654-5b54654e-c78c-4c14-b8b5-2417ac1f0ecb.jpg?1532257638","-","めい","-","","","","","","","","","〇","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","遊んでても、読み聞かせをはじめると","Baby Kumonをしています。<br>
読み聞かせを毎日続けているうちに、集中力がついてきたと感じています。<br>
遊んでる途中でも、絵本を読み聞かせるとおもちゃを置いて本の近くまでやって来ます。<br>
またBaby Kumonのおかげで、こどもを『よく見る』事が自然にできるようになり、こどもができた事を一緒に喜べるようになって、子育てを楽しめるようになりました。","https://photo.kumon.ne.jp/photo/600/20180722095552-5b53d618-d5f8-448c-b90b-1068ac1f0ecb.jpg?1532221088","https://photo.kumon.ne.jp/photo/240/20180722095552-5b53d618-d5f8-448c-b90b-1068ac1f0ecb.jpg?1532221088","-","mac","-","〇","","","","","","","","","","","","","","〇","","〇","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"17","沢山プリントがんばったよ♪","毎日コツコツとプリントに取り組み、こんなに沢山のプリントを何度も繰り返し行いました。<br>
子供達は机に自ら向かう習慣と集中力が身に付きました！これからも、3人で毎日コツコツ続けようね♪パパとママも毎日サポートするからね！","https://photo.kumon.ne.jp/photo/600/20180720112515-5b51480b-4088-4cad-acb3-79e2ac1f0ecb.jpg?1532053544","https://photo.kumon.ne.jp/photo/240/20180720112515-5b51480b-4088-4cad-acb3-79e2ac1f0ecb.jpg?1532053544","-","三姉妹ママOT","-","","","","","","","","","","","","〇","","〇","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"18","ある日の朝６時","「少し難しいのが楽しいっちゃんねー」と驚くようなことを言いました。<br>
朝起きてまず兄妹でくもん中。えらいなー！！","https://photo.kumon.ne.jp/photo/600/20180716063819-5b4bbecb-55ac-4e20-9b91-4a1cac1f0ecb.jpg?1531690715","https://photo.kumon.ne.jp/photo/240/20180716063819-5b4bbecb-55ac-4e20-9b91-4a1cac1f0ecb.jpg?1531690715","-","きたろー","-","","","","","","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","たしざんに進んだよ！","毎日できることが増えてくる。できることが楽しそう！集中力がついてきました！","https://photo.kumon.ne.jp/photo/600/20180714210132-5b49e61c-c460-499b-a876-6da8ac1f0ecb.jpg?1531569837","https://photo.kumon.ne.jp/photo/240/20180714210132-5b49e61c-c460-499b-a876-6da8ac1f0ecb.jpg?1531569837","-","ぷーる","-","","","","","","","","","〇","","","","〇","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","",""
"20","継続は力なり","計算力 読解力 英語の楽しさ以外にも 公文のおかげで生活リズムがつきました。これからも楽しんで続けてほしいです","https://photo.kumon.ne.jp/photo/600/20180706153834-5b3f0e6a-c504-4203-a4aa-7d71ac1f0ecb.jpg?1530859681","https://photo.kumon.ne.jp/photo/240/20180706153834-5b3f0e6a-c504-4203-a4aa-7d71ac1f0ecb.jpg?1530859681","-","ゆう","-","","","","","","","","","","〇","","","〇","","","","","","〇","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","",""
"21","今年も楽しみです♪","毎年参加している未来フォーラム。<br>
公文を頑張っているたくさんのお友達から親子で刺激を受けています。<br>
「また頑張ろう！」と改めてやる気を引き出してくれる<br>
楽しみな場所です☆","https://photo.kumon.ne.jp/photo/600/20180630202615-5b3768d7-dbf4-4965-884c-25a5ac1f0ecb.jpg?1530357994","https://photo.kumon.ne.jp/photo/240/20180630202615-5b3768d7-dbf4-4965-884c-25a5ac1f0ecb.jpg?1530357994","-","メイプル","-","","","〇","〇","","","","","〇","〇","〇","〇","","〇","","〇","","","","","","","〇","","","","","〇","","","","","","","","","","","","","","","","","","","",""
"22","くもんと図書館","くもんの文章問題になっていた本が図書館にはいっぱい！一緒に本を探すことも出来る私たちの日常の場所です。","https://photo.kumon.ne.jp/photo/600/20170701115632-59570f60-5d78-4d23-8417-4e94ac1f0ecb.jpg?1498877900","https://photo.kumon.ne.jp/photo/240/20170701115632-59570f60-5d78-4d23-8417-4e94ac1f0ecb.jpg?1498877900","-","ひろと","-","","","","","","","","","","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","お父さんとくもん","入園前から、自分でやりたいと始めたくもん。<br>
<br>
くもんに通ってたお父さんも大賛成！<br>
<br>
だんだん難しくなってきたけど頑張って、今度は私が教えてあげるね♪<br>","https://photo.kumon.ne.jp/photo/600/20170630233917-59566295-8ef8-4a77-8a13-538aac1f0ecb.jpg?1499044103","https://photo.kumon.ne.jp/photo/240/20170630233917-59566295-8ef8-4a77-8a13-538aac1f0ecb.jpg?1499044103","-","あやぴー","-","","","","","","","","〇","","〇","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","誕生日","誕生日の日も、くもん。<br>
<br>
頑張って遅くなっちゃって、外はもう真っ暗に…。<br>
<br>
でもお勉強も終わったし、後は思いっきり残りのバースデー楽しんできま～す♪","https://photo.kumon.ne.jp/photo/600/20170630233512-595661a0-ab44-4930-a1e1-1ffaac1f0ecb.jpg?1499044138","https://photo.kumon.ne.jp/photo/240/20170630233512-595661a0-ab44-4930-a1e1-1ffaac1f0ecb.jpg?1499044138","-","あやぴー","-","","","","","","","","〇","","〇","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","KUMON頑張った証とある日のご褒美?","公文始めて泣いてつまずく事もありますが、出来るようになる喜びを感じながら、<br>
<br>
これかも一緒に続けられるといいなぁと思ってます。","https://photo.kumon.ne.jp/photo/600/20170630230217-595659e9-0f40-4ed3-b77c-232fac1f0ecb.jpg?1499044188","https://photo.kumon.ne.jp/photo/240/20170630230217-595659e9-0f40-4ed3-b77c-232fac1f0ecb.jpg?1499044188","-","しんしん","-","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","くもん、がんばってるもん。","親に言われなくても、時計とにらめっこして取り組んでる姿はエライ！","https://photo.kumon.ne.jp/photo/600/20170630224632-59565638-24a4-4490-92b0-749aac1f0ecb.jpg?1499044223","https://photo.kumon.ne.jp/photo/240/20170630224632-59565638-24a4-4490-92b0-749aac1f0ecb.jpg?1499044223","-","ルミルミ","-","","","","","","","","","〇","","","〇","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","公文帰りのご褒美","英語の発音がとても良くなって、外国人と話する時も、知ってる単語を使って恥ずかしがらず話してます！ガンバレ??","https://photo.kumon.ne.jp/photo/600/20170630214221-5956472d-ebc4-4c46-97c6-0fe5ac1f0ecb.jpg?1499044285","https://photo.kumon.ne.jp/photo/240/20170630214221-5956472d-ebc4-4c46-97c6-0fe5ac1f0ecb.jpg?1499044285","-","よし","-","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","初めてのオブジェ！","２歳から始めた公文。初めてのオブジェ！これからも毎日一緒にがんばろうね！","https://photo.kumon.ne.jp/photo/600/20170630210538-59563e92-46a8-42c2-99a3-64a7ac1f0ecb.jpg?1498824366","https://photo.kumon.ne.jp/photo/240/20170630210538-59563e92-46a8-42c2-99a3-64a7ac1f0ecb.jpg?1498824366","-","エイミー","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","J教材頑張るぞ☆","進一認定証を3教科もらえてとても嬉しかったよ☆<br>
幼児のときから公文を始めたので毎日学習する習慣が自然とつきました<br>
今では公文は生活の一部です♪<br>
子どもに合わせた目標設定ができるので、無理なく進めることができるのが公文の良いところだと思います
今では公文は生活の一部です♪
子どもに合わせた目標設定ができるので、無理なく進めることができるのが公文の良いところだと思います","https://photo.kumon.ne.jp/photo/600/20170630205736-59563cb0-b268-4a04-ac7e-74bcac1f0ecb.jpg?1498823868","https://photo.kumon.ne.jp/photo/240/20170630205736-59563cb0-b268-4a04-ac7e-74bcac1f0ecb.jpg?1498823868","-","メイプル","-","","","〇","〇","","","","","〇","〇","〇","〇","","〇","","〇","","","","","","","〇","","","","","〇","","","","","","","","","","","","","","","","","","","",""
"30","継続は力なり～英検合格!!","イーペンシルが気にいって、自分から行きたいと始めた公文。大変な時もあるけれど２年たった今では、HⅠの教材まで頑張り、初めて受けた英検５級合格!！すごいね！そんな娘を、公文を習っていたパパも、応援してくれています。これからも、家族皆で見守っているよ～頑張ってね☆","https://photo.kumon.ne.jp/photo/600/20170630205641-59563c79-2268-491b-84fd-27f9ac1f0ecb.jpg?1498823855","https://photo.kumon.ne.jp/photo/240/20170630205641-59563c79-2268-491b-84fd-27f9ac1f0ecb.jpg?1498823855","-","セーラームーン","-","","","","","","","","〇","","〇","","","","","","","","","","","〇","","","","","","","〇","","","","〇","","","","","","","","","〇","","","","","","",""
"31","国語頑張ってます！","幼児優秀児の盾と、キラキラのオブジェが宝物です<br>
小二の未来フォーラムでは古文を解きたい！とJ教材へ向けて頑張っています","https://photo.kumon.ne.jp/photo/600/20170630203622-595637b6-6380-4a51-9ce9-2c18ac1f0ecb.jpg?1498822627","https://photo.kumon.ne.jp/photo/240/20170630203622-595637b6-6380-4a51-9ce9-2c18ac1f0ecb.jpg?1498822627","-","メイプル","-","","","〇","〇","","","","","〇","〇","〇","〇","","〇","","〇","","","","","","","〇","","","","","〇","","","","","","","","","","","","","","","","","","","",""
"32","いってきます！！","公文のおかげで、毎日コツコツお勉強する習慣がつきました！これからも元気に公文へ通おうね☆","https://photo.kumon.ne.jp/photo/600/20170630180102-5956134e-e0ec-4b1a-81f4-2be7ac1f0ecb.jpg?1498813447","https://photo.kumon.ne.jp/photo/240/20170630180102-5956134e-e0ec-4b1a-81f4-2be7ac1f0ecb.jpg?1498813447","-","Miki","-","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","今からくもん☆","今からくもんへ行くところです。がんばるぞーと気合いいれたところです。毎日くもんの宿題を頑張っているので、教室へ行くのが楽しみなようです。","https://photo.kumon.ne.jp/photo/600/20170630172730-59560b72-35e4-4394-9af8-38feac1f0ecb.jpg?1498811351","https://photo.kumon.ne.jp/photo/240/20170630172730-59560b72-35e4-4394-9af8-38feac1f0ecb.jpg?1498811351","-","ミリィ","-","","","","","","","","","","","","〇","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","宿題大好き☆","幼稚園の年中から公文に通い始めて、一週間のスケジュールが立てられるようになり、宿題も自分で積極的に取り組んで、タイマーで時間を計りながら宿題をしています。宿題の量など先生が子どもと相談しながら、よく考えてくれてるのでくじけずに頑張れています。<br>
小学校に入学してからも公文のおかげで宿題の習慣が付いているので、学校の宿題もスムーズに取り組めています。<br>
これからも公文を続けて成長していってほしいです！","https://photo.kumon.ne.jp/photo/600/20170630162314-5955fc62-80a0-46ab-89cb-7612ac1f0ecb.jpg?1498807604","https://photo.kumon.ne.jp/photo/240/20170630162314-5955fc62-80a0-46ab-89cb-7612ac1f0ecb.jpg?1498807604","-","りほママ","-","","","〇","〇","","","","","","","","〇","","","","〇","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","",""
"35","自転車でGO！","まだイスに座れない頃にbabykumonからスタートしたくもん。今では、きちんと机に向かってプリントを頑張っています!<br>
乗り始めたばかりの自転車で、ビュンビュンと教室に向かいます!","https://photo.kumon.ne.jp/photo/600/20170630124615-5955c987-2a9c-4c1f-9015-7e80ac1f0ecb.jpg?1498794493","https://photo.kumon.ne.jp/photo/240/20170630124615-5955c987-2a9c-4c1f-9015-7e80ac1f0ecb.jpg?1498794493","-","あい","-","","","","","","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","オブジェと僕！","この写真の笑顔が何よりも物語っています。大好きな数学を自分のペースで取り組みオブジェがもらえる事。目標に向かって学習に取り組み、得意分野を伸ばし。学校やモデル、ダンスなどとの文武両道。<br>
自学自習の姿勢を学び、自ら進んで時間配分を決めながら毎日の生活を過ごす力が身についています。<br>
数学だけでなく、くもんでは英語も学ぶようになりました。次なる目標へ向かって応援しています。","https://photo.kumon.ne.jp/photo/600/20170630115206-5955bcd6-461c-4b25-885b-6790ac1f0ecb.jpg?1498791411","https://photo.kumon.ne.jp/photo/240/20170630115206-5955bcd6-461c-4b25-885b-6790ac1f0ecb.jpg?1498791411","-","カイリ","-","","","","","","","","","〇","〇","","","〇","","","","","","","","","","","","","","","〇","","","","","〇","","","","","","","","","","","","","","",""
"37","一番のりだ！","学習開始時間の１番に行って学習したい娘。幼稚園から帰ってきて急いで着替えておやつ食べてバッグを担いで走っていきます。「お部屋で遊んでいたい」「公園に遊びに行きたい」そんな駄々をこねたこともあるけど、今は「くもんに行ってから遊ぶ」と自分で決めて通っています。まだまだ遊びたい５歳。やるべき事をわかっている、ママはそんなあなたを尊敬しています。","https://photo.kumon.ne.jp/photo/600/20170630085653-595593c5-3084-4345-acbd-79ebac1f0ecb.jpg?1498780662","https://photo.kumon.ne.jp/photo/240/20170630085653-595593c5-3084-4345-acbd-79ebac1f0ecb.jpg?1498780662","-","のぞみママ","-","","〇","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","今から行ってきます","通っている公文は階段を上ったところにあります。通い始めた時は階段を上るのもおぼつかなくてエレベーターであがっていたのですが、通い始めて１年と少し。すっかり成長しました。「ママ、ついてこなくても大丈夫。下でバイバイね～」だって。学習ももう少しで３学年先だね。よく頑張ってるね。いつも応援しているよ。","https://photo.kumon.ne.jp/photo/600/20170630084521-59559111-d834-49a2-8840-6249ac1f0ecb.jpg?1498780129","https://photo.kumon.ne.jp/photo/240/20170630084521-59559111-d834-49a2-8840-6249ac1f0ecb.jpg?1498780129","-","のぞみママ","-","","〇","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","今日もがんばったよ！","教室へ行く日もお友だちと遊びたい！<br>
だから集中して終わらせて、足取り軽く帰ってきました。<br>
このあとは、たくさん遊んでおいで～。","https://photo.kumon.ne.jp/photo/600/20170630084026-59558fea-4874-4749-be5a-1a4dac1f0ecb.jpg?1498779685","https://photo.kumon.ne.jp/photo/240/20170630084026-59558fea-4874-4749-be5a-1a4dac1f0ecb.jpg?1498779685","-","kakky","-","","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","トロフィー目指して頑張りました！","継続は力なり。疲れた日も遊びたい日もママと喧嘩しながらも続けてきた公文。学習習慣が身に付いたと同時に、様々な題材の宿題に触れることにより幅広い知識習得に繋がっています。トロフィー目指して毎日努力し勝ち取ったので、自信になりました。","https://photo.kumon.ne.jp/photo/600/20170630083544-59558ed0-7ef8-4bc2-90e7-721dac1f0ecb.jpg?1499045004","https://photo.kumon.ne.jp/photo/240/20170630083544-59558ed0-7ef8-4bc2-90e7-721dac1f0ecb.jpg?1499045004","-","ゆの","-","","","","","","","","","","","","〇","","","","","","〇","","〇","","","","","","〇","","","","","","","","","","","","","","","","","","","","","",""
"41","毎日、くもん行きたいもん♪","『習い事は、嫌だよ??』と言っていた息子が、くもんの魔法にかかりました?(*´?`*)??  毎日『今日も、くもん教室行きたい?』と嬉しそうです♪  先日は初めて賞状を頂き、宝物にしています☆彡<br>
楽しく頑張れるのも、先生方のお陰です。これからも宜しくお願い致します。","https://photo.kumon.ne.jp/photo/600/20170630065327-595576d7-91a4-412f-b99c-7200ac1f0ecb.jpg?1498773548","https://photo.kumon.ne.jp/photo/240/20170630065327-595576d7-91a4-412f-b99c-7200ac1f0ecb.jpg?1498773548","-","たけつばママ","-","","","","","","","","","","","","","〇","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","朝のたのしみ","生まれてからすぐに始めた公文。今では毎朝目がさめると、まず最初に絵本棚の前へはいはい。お気に入りの本を手にとって、幼少期から高校まで公文で育ったお父さんと一緒にしばしの絵本タイム。","https://photo.kumon.ne.jp/photo/600/20170629230816-595509d0-3d0c-4224-b28c-1ec5ac1f0ecb.jpg?1498745458","https://photo.kumon.ne.jp/photo/240/20170629230816-595509d0-3d0c-4224-b28c-1ec5ac1f0ecb.jpg?1498745458","-","kiki","-","","","","","","","","〇","","","","","","","〇","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","自転車でいくもん♪","くもんのおかげで、何事も努力したらできるという気持ちが育ってきたように思います。一生懸命練習して乗れるようになった自転車で、いつも以上にはりきって教室に行く自慢の娘です！","https://photo.kumon.ne.jp/photo/600/20170629225141-595505ed-0f60-4aa3-946c-28dcac1f0ecb.jpg?1498744350","https://photo.kumon.ne.jp/photo/240/20170629225141-595505ed-0f60-4aa3-946c-28dcac1f0ecb.jpg?1498744350","-","ここなっつ","-","","","","","","","","","","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","行ってきまーす","公文の日を楽しみにしています！公文の教室に行く前の楽しい気持ちをパシャリと1枚。","https://photo.kumon.ne.jp/photo/600/20170629224211-595503b3-9914-4010-a7ef-101bac1f0ecb.jpg?1499045111","https://photo.kumon.ne.jp/photo/240/20170629224211-595503b3-9914-4010-a7ef-101bac1f0ecb.jpg?1499045111","-","まる","-","","","","","","","","","","","","","〇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
